City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,wuxue,29.8506,115.5525,6.37,90,100,2.03,CN,1670134023
325,isiro,2.7739,27.616,23.5,69,53,1.32,CD,1670134170
326,mugur-aksy,50.35,90.5,-15.55,54,57,2.28,RU,1670134170
327,mbini,1.574,9.6134,25.42,86,99,1.56,GQ,1670134170
328,tungor,53.3808,142.9564,-19.23,94,47,8.52,RU,1670134171
329,avera,33.194,-82.5271,14.1,95,65,2.58,US,1670133981
330,taree,-31.9,152.4667,24.48,55,63,4.51,AU,1670134171
331,berlevag,70.8578,29.0864,-5.0,86,32,3.6,NO,1670134172
332,neuquen,-38.9516,-68.0591,18.94,33,73,8.67,AR,1670133918
333,lahij,13.1667,44.5833,24.12,65,0,3.28,YE,1670134172
334,nicoya,10.1483,-85.452,21.34,90,13,2.02,CR,1670134172
335,george,-33.963,22.4617,16.2,62,49,1.9,ZA,1670134173
336,praya,14.9215,-23.5087,19.3,68,20,2.06,CV,1670134173
337,beruwala,6.4788,79.9828,27.26,71,99,2.45,LK,1670134173
338,grand gaube,-20.0064,57.6608,27.43,62,10,4.02,MU,1670134174
339,pontiac,42.6389,-83.2911,-2.61,76,0,3.09,US,1670134174
340,ambilobe,-13.2,49.05,29.85,55,1,2.07,MG,1670134174
341,dwarka,22.2394,68.9678,26.11,38,13,5.74,IN,1670134175
342,deloraine,-41.5333,146.6667,26.44,72,100,0.89,AU,1670134175
343,tagusao,9.1924,117.8141,29.78,67,89,3.01,PH,1670134175
344,bambous virieux,-20.3428,57.7575,27.34,68,13,5.0,MU,1670134176
345,souillac,-20.5167,57.5167,26.66,61,14,5.12,MU,1670134176
346,pingliang,35.5392,106.6861,1.31,29,99,1.66,CN,1670134176
347,bambanglipuro,-7.95,110.2833,27.79,73,100,2.19,ID,1670134177
348,port hedland,-20.3167,118.5667,39.03,29,8,10.29,AU,1670134023
349,suluq,31.6682,20.2521,13.39,66,3,5.61,LY,1670134177
350,yulara,-25.2406,130.9889,38.57,9,0,5.66,AU,1670133971
351,san-pedro,4.7485,-6.6363,23.05,94,100,1.34,CI,1670134178
352,bama,11.5221,13.6856,23.84,28,48,2.93,NG,1670134178
353,bodden town,19.2833,-81.25,26.67,75,5,4.47,KY,1670134178
354,pedra branca,-5.4542,-39.7172,22.03,81,77,2.02,BR,1670134028
355,veraval,20.9,70.3667,27.58,36,3,2.3,IN,1670134179
356,shahabad,27.65,79.95,22.77,28,0,2.35,IN,1670134179
357,bonavista,48.6499,-53.1147,1.33,82,68,6.71,CA,1670134179
358,el tarra,8.5756,-73.0949,21.1,99,66,0.73,CO,1670134180
359,oktyabrskiy,54.4815,53.471,-16.62,86,85,1.12,RU,1670134180
360,loukhi,66.0764,33.0381,-6.57,94,100,2.74,RU,1670134180
361,sistranda,63.7256,8.834,-3.02,62,34,2.92,NO,1670134180
362,port macquarie,-31.4333,152.9167,22.72,68,53,4.4,AU,1670133904
363,dudinka,69.4058,86.1778,-17.99,97,100,5.64,RU,1670134181
